Date,Weekly COVID-19 Hospital Admissions,Average Daily
"December 2, 2023",22513,3216.142857
"November 25, 2023",19137,2733.857143
"November 18, 2023",17775,2539.285714
"November 11, 2023",16643,2377.571429
"November 4, 2023",15039,2148.428571
"October 28, 2023",16209,2315.571429
"October 21, 2023",15904,2272
"October 14, 2023",16080,2297.142857
"October 7, 2023",17147,2449.571429
"September 30, 2023",18328,2618.285714
"September 23, 2023",19435,2776.428571
"September 16, 2023",19889,2841.285714
"September 9, 2023",20685,2955
"September 2, 2023",19129,2732.714286
"August 26, 2023",17432,2490.285714
"August 19, 2023",15079,2154.142857
"August 12, 2023",12737,1819.571429
"August 5, 2023",10515,1502.142857
"July 29, 2023",9078,1296.857143
"July 22, 2023",8074,1153.428571
"July 15, 2023",7199,1028.428571
"July 8, 2023",6449,921.2857143
"July 1, 2023",6487,926.7142857
"June 24, 2023",6325,903.5714286
"June 17, 2023",6687,955.2857143
"June 10, 2023",6974,996.2857143
"June 3, 2023",7447,1063.857143
"May 27, 2023",7848,1121.142857
"May 20, 2023",8454,1207.714286
"May 13, 2023",9340,1334.285714
"May 6, 2023",9731,1390.142857
"April 29, 2023",10210,1458.571429
"April 22, 2023",11851,1693
"April 15, 2023",13282,1897.428571
"April 8, 2023",14450,2064.285714
"April 1, 2023",15820,2260
"March 25, 2023",17230,2461.428571
"March 18, 2023",18186,2598
"March 11, 2023",20231,2890.142857
"March 4, 2023",22406,3200.857143
"February 25, 2023",24090,3441.428571
"February 18, 2023",25500,3642.857143
"February 11, 2023",26434,3776.285714
"February 4, 2023",26521,3788.714286
"January 28, 2023",28307,4043.857143
"January 21, 2023",31683,4526.142857
"January 14, 2023",37561,5365.857143
"January 7, 2023",44496,6356.571429
"December 31, 2022",44545,6363.571429
"December 24, 2022",39039,5577
"December 17, 2022",36667,5238.142857
"December 10, 2022",34932,4990.285714
"December 3, 2022",33901,4843
"November 26, 2022",26461,3780.142857
"November 19, 2022",24132,3447.428571
"November 12, 2022",23803,3400.428571
"November 5, 2022",23590,3370
"October 29, 2022",23311,3330.142857
"October 22, 2022",22776,3253.714286
"October 15, 2022",22887,3269.571429
"October 8, 2022",23578,3368.285714
"October 1, 2022",24293,3470.428571
"September 24, 2022",26849,3835.571429
"September 17, 2022",28916,4130.857143
"September 10, 2022",31571,4510.142857
"September 3, 2022",34546,4935.142857
"August 27, 2022",36922,5274.571429
"August 20, 2022",38156,5450.857143
"August 13, 2022",41113,5873.285714
"August 6, 2022",42813,6116.142857
"July 30, 2022",44026,6289.428571
"July 23, 2022",44728,6389.714286
"July 16, 2022",42572,6081.714286
"July 9, 2022",38865,5552.142857
"July 2, 2022",35747,5106.714286
"June 25, 2022",32756,4679.428571
"June 18, 2022",30421,4345.857143
"June 11, 2022",29495,4213.571429
"June 4, 2022",28200,4028.571429
"May 28, 2022",26471,3781.571429
"May 21, 2022",24511,3501.571429
"May 14, 2022",20706,2958
"May 7, 2022",17451,2493
"April 30, 2022",14460,2065.714286
"April 23, 2022",12314,1759.142857
"April 16, 2022",10740,1534.285714
"April 9, 2022",9998,1428.285714
"April 2, 2022",10206,1458
"March 26, 2022",11656,1665.142857
"March 19, 2022",14068,2009.714286
"March 12, 2022",18284,2612
"March 5, 2022",25201,3600.142857
"February 26, 2022",34543,4934.714286
"February 19, 2022",48873,6981.857143
"February 12, 2022",69796,9970.857143
"February 5, 2022",95080,13582.85714
"January 29, 2022",123524,17646.28571
"January 22, 2022",140530,20075.71429
"January 15, 2022",150650,21521.42857
"January 8, 2022",136096,19442.28571
"January 1, 2022",97667,13952.42857
"December 25, 2021",60925,8703.571429
"December 18, 2021",54528,7789.714286
"December 11, 2021",54922,7846
"December 4, 2021",49838,7119.714286
